"Country.Code","year","is.Crisis_1_for_yes","ca_gdp","fd_gdp","stfd_gdp","ca_fdi_gdp","ds_e","mr","pol.est","pol.num.sources"
"STP",2021,1,-0.180855718929242,0.581727174525354,0.0216852617455828,-0.111813418611556,3.18079956217632,0.451911966641362,0.5975106358528,4
"BWA",2021,0,-0.00697578794212863,0.112492272915006,0.008854376849975,-0.00614917217852356,2.00605392515471,0.572847639259257,0.9783778190613,7
"SWZ",2021,1,0.0262396214238252,0.238304177852361,0.00833928000543403,-0.0114521043368254,2.90735781449707,0.269562652330964,-0.0301357265562,4
"LSO",2021,1,-0.0364105711853825,0.728148377702609,0.0010366695436768,0.00495654043018651,20.8936797704296,NA,-0.2195944190025,4
"NAM",2021,1,-0.0980798074740894,NA,NA,-0.051347361411632,NA,0.302994933367061,0.5478191971779,6
"ZAF",2021,1,0.0371554928208489,0.405750126245849,0.0866126473008418,-0.0985706263910509,18.7293801467428,0.505291343099727,-0.7065768241882,7
"BEN",2021,1,-0.0428499608885969,0.400339554770067,0.0196163073696877,-0.017677721259705,18.6306071443935,NA,-0.3013404905796,5
"BFA",2021,0,0.00391412050288539,0.521682368930452,0,0.00186638832952859,8.10804428529482,NA,-1.6387419700623,6
"CPV",2021,0,-0.12886743173505,1.06383509936258,0,-0.0476526163537308,11.1773757990767,0.93745487300809,0.9024584889412,4
"CIV",2021,NA,-0.0410334887415624,0.424772290816453,0.0312318734150901,-0.0158077051794079,10.9395616885016,NA,NA,NA
"GMB",2021,NA,-0.0461541126577038,0.526693115426943,0.0184908149069957,-0.125199575018557,26.2055151430013,1.07524044851364,0.1752006709576,6
"GHA",2021,0,-0.0327527129333393,0.466291541707735,0.066334553320092,-0.0311090572751288,21.9236536671598,0.727633494730194,0.0664478614926,6
"GIN",2021,1,0.288266375214943,0.292196030578928,0.0140235786169369,-0.0124740412778703,1.5906124187103,NA,-0.970410823822,6
"GNB",2021,1,-0.00862230795326227,0.67863343479279,0.0364277982944159,-0.010731027562985,38.643624684125,NA,-0.2802393138409,4
"LBR",2021,1,NA,0.526165673240239,0,NA,6.39468423429377,NA,-0.241881981492,7
"MLI",2021,0,-0.0767233808426497,0.337494947244891,0.0044485243069633,-0.0305148870370753,5.29725586765838,NA,-2.352436542511,6
"MRT",2021,0,-0.0808165082274317,0.4820634794398,0.0193210460525861,-0.106191715858246,12.5360588482362,0.528125074974547,-0.6702546477318,5
"NER",2021,0,-0.14073697437497,0.334183655704267,0.00294433493117769,-0.0372491220464541,14.7070279536495,NA,-1.6162995100021,6
"NGA",2021,0,-0.00419363203730151,0.172887447863771,0,-0.00342103254761064,16.1850114622948,NA,-1.7793031930924,6
"SEN",2021,0,NA,1.04727589589627,0.101034742549814,NA,28.2489964207371,NA,-0.169552102685,6
"SLE",2021,1,-0.0886613372159458,0.606850047438071,0.0448647480154857,-0.0525177389080791,NA,0.524629920788951,-0.1645477563143,6
"TGO",2021,0,NA,0.412098579219158,0.0487348419551856,NA,8.62362117234361,NA,-0.8018198013306,6
"BDI",2020,1,NA,0.248002230835457,0.000100012378933627,NA,12.6140338323656,0.0993610181948982,-1.5370370149612,4
